Буква укр. мови;Частота ;Deresh - Golova Iakova;Deresh - Kult;Deresh - Namir;Deresh;Karpa - Bіtches Get Everythіng;Karpa - Froid by plakav;Karpa - 50 khvylyn travy;Karpa;Andruhovich - Lito Mileni;Andruhovich - Stari ludi;Andruhovich - Feliks Avstrya;Andruhovich
А;0.0807000;0.08192883074063032;0.08454536245097613;0.08106888146610093;0.0825469;0.08077616777340331;0.08340223357787879;0.08034840743559082;0.0818687;0.08106107507200344;0.08026423596886521;0.0769418922844083;0.0783959
Б;0.0177000;0.020957926305266664;0.02287056735022697;0.023398977718739385;0.0226987;0.0216800954331337;0.021569473629019575;0.021143602565496248;0.0215621;0.020362843530456785;0.02068824252355592;0.01928897925488817;0.0197881
В;0.0535000;0.05720900050860239;0.057222246342204665;0.054183486159652995;0.0559435;0.051600662820570235;0.052830690924930326;0.060386998586802916;0.0532785;0.05730666738445802;0.05947357640311348;0.05436228272667513;0.0560178
Г;0.0155000;0.018704291551938826;0.019566129755857538;0.019663223238198413;0.0194295;0.019106983637126096;0.018875306017915407;0.019336340906620286;0.0190355;0.01780571182471535;0.019162228594838182;0.020718358736031065;0.0198688
Д;0.0338000;0.033778214279450706;0.03663342933086345;0.03748651216377135;0.0364039;0.037814972090694045;0.036157503942438385;0.03653929774975541;0.0369248;0.035503754946031064;0.03642974190905367;0.0365944078394203;0.0363704
Е;0.0495000;0.040661884634946244;0.03738597278301181;0.038905153105748935;0.0386983;0.03976516283482007;0.03817006328067338;0.035479399934775516;0.0385117;0.040914107291862935;0.037156902908644;0.04293489061807286;0.0412875
Ж;0.0093000;0.00944422034760343;0.009464681109712152;0.009986372449133125;0.0096795;0.011489432734704845;0.01077667044441666;0.010694097184476574;0.0110746;0.009932437888616726;0.010129045473166735;0.010521608854509043;0.0103322
З;0.0232000;0.025298584682298883;0.026112292990250703;0.024366232906451377;0.0252116;0.0222908023467431;0.022388210193471886;0.0245814762474182;0.0226306;0.024225458264918846;0.02524580090126997;0.023007659028021953;0.0237203
И;0.0626000;0.05156176011504937;0.05286135351693464;0.05221458448866592;0.0523222;0.04945097448466515;0.050088125093267405;0.04963854766822481;0.0497539;0.05660682081236037;0.05526423596886522;0.0551343005213031;0.0554159
Й;0.0138000;0.009286378224802258;0.006169891508318982;0.005386536667569438;0.0064825;0.00665670535834246;0.006094142605356876;0.006372975323404718;0.0063740;0.006015988802454846;0.005704629250307251;0.006218182929998624;0.0060679
К;0.0354000;0.04158263035128641;0.04141400985060083;0.03789060988663769;0.0399692;0.041120932183032935;0.039831735519857386;0.04352375258180237;0.0408691;0.037859007832898174;0.041745186399016795;0.04083286196933331;0.0405287
Л;0.0369000;0.04728248478577316;0.050338403353642355;0.047945764926897005;0.0487046;0.04152399874601514;0.05325014216977289;0.04905424502663333;0.0476274;0.062071007509892064;0.0553871364195002;0.05208062617522511;0.0545372
М;0.0303000;0.033725600238516985;0.028316859385326368;0.03482118675763164;0.0321616;0.03366623645757419;0.03529843552752044;0.02966355038591151;0.0338604;0.034225189093160344;0.03372593199508398;0.03281457814195955;0.0332615
Н;0.0681000;0.07221277118153598;0.0751771612710266;0.07532983401900979;0.0746310;0.07585387004971154;0.07631189426602082;0.07820143493858028;0.0763587;0.07758875938736508;0.07363785333879558;0.0743391986302417;0.0747381
О;0.0942000;0.08970693979199916;0.08946101487238117;0.09025565629339215;0.0898453;0.0892609224931499;0.08705629923006497;0.09094738558538971;0.0885160;0.08846329843072864;0.09089512494879148;0.09364728723648204;0.0921392
П;0.0290000;0.034970799207281786;0.037149596955093414;0.03846236517537411;0.0372523;0.033686593354694504;0.03444743348269562;0.03484074355908251;0.0341690;0.03437323356033485;0.03506759524784924;0.036086099093452374;0.0355632
Р;0.0448000;0.04915028323892036;0.05218599400859636;0.04970831882450552;0.0505206;0.05064388865591551;0.0526693635230678;0.04803511251222959;0.0511909;0.04592070199994617;0.05076812781646866;0.051174842921131884;0.0501829
С;0.0424000;0.05007102895526053;0.04874166051607114;0.050580997949419004;0.0497877;0.051364522813974606;0.050963326248371604;0.04991031633873247;0.0510004;0.05102150682350408;0.05083981974600574;0.05009325363459863;0.0504204
